2020-11-24 15:03:43:217  开始处理数据
2020-11-24 15:03:44:266  右侧计算完成
2020-11-24 15:04:41:495  左侧计算完成
2020-11-24 15:04:41:498  检查结果数据
2020-11-24 15:04:41:501  通知桌面显示数据
2020-11-24 15:04:41:554  开始写入数据库
2020-11-24 15:04:41:557  预警及报警参数加载完成
2020-11-24 15:04:43:479  数据库打开成功
2020-11-24 15:04:43:505  train_info数据表写入成功
2020-11-24 15:04:43:579  train_onlyid读取成功
2020-11-24 15:04:43:623  train_data数据表写入成功
2020-11-24 15:04:43:628  train_fault数据表写入1、1成功
2020-11-24 15:04:43:630  train_fault数据表写入2、1成功
2020-11-24 15:04:43:635  train_fault数据表写入3、1成功
2020-11-24 15:04:43:640  vt_info数据表，第0次写入成功
2020-11-24 15:04:43:716  vt_info数据表，第1次写入成功
2020-11-24 15:04:43:719  vt_info数据表，第2次写入成功
2020-11-24 15:04:43:727  vt_info数据表，第3次写入成功
2020-11-24 15:04:43:730  vt_info数据表，第4次写入成功
2020-11-24 15:04:43:738  vt_info数据表，第5次写入成功
2020-11-24 15:04:43:741  vt_info数据表，第6次写入成功
2020-11-24 15:04:43:819  vt_info数据表，第7次写入成功
2020-11-24 15:04:43:824  vt_info数据表，第8次写入成功
2020-11-24 15:04:43:834  vt_info数据表，第9次写入成功
2020-11-24 15:04:43:841  vt_info数据表，第10次写入成功
2020-11-24 15:04:43:854  vt_info数据表，第11次写入成功
2020-11-24 15:04:43:858  vt_info数据表，第12次写入成功
2020-11-24 15:04:43:884  vt_info数据表，第13次写入成功
2020-11-24 15:04:43:931  vt_info数据表，第14次写入成功
2020-11-24 15:04:43:940  vt_info数据表，第15次写入成功
2020-11-24 15:04:43:944  vt_info数据表，第16次写入成功
2020-11-24 15:04:43:951  vt_info数据表，第17次写入成功
2020-11-24 15:04:43:957  vt_info数据表，第18次写入成功
2020-11-24 15:04:43:965  vt_info数据表，第19次写入成功
2020-11-24 15:04:43:988  vt_info数据表，第20次写入成功
2020-11-24 15:04:44:036  vt_info数据表，第21次写入成功
2020-11-24 15:04:44:040  vt_info数据表，第22次写入成功
2020-11-24 15:04:44:045  vt_info数据表，第23次写入成功
2020-11-24 15:04:44:048  vt_info数据表，第24次写入成功
2020-11-24 15:04:44:051  vt_info数据表，第25次写入成功
2020-11-24 15:04:44:055  vt_info数据表，第26次写入成功
2020-11-24 15:04:44:058  vt_info数据表，第27次写入成功
2020-11-24 15:04:44:068  vt_info数据表，第28次写入成功
2020-11-24 15:04:44:132  vt_info数据表，第29次写入成功
2020-11-24 15:04:44:139  vt_info数据表，第30次写入成功
2020-11-24 15:04:44:143  vt_info数据表，第31次写入成功
2020-11-24 15:04:44:146  vt_info数据表，第32次写入成功
2020-11-24 15:04:44:149  vt_info数据表，第33次写入成功
2020-11-24 15:04:44:155  vt_info数据表，第34次写入成功
2020-11-24 15:04:44:176  vt_info数据表，第35次写入成功
2020-11-24 15:04:44:220  vt_info数据表，第36次写入成功
2020-11-24 15:04:44:224  vt_info数据表，第37次写入成功
2020-11-24 15:04:44:226  vt_info数据表，第38次写入成功
2020-11-24 15:04:44:231  vt_info数据表，第39次写入成功
2020-11-24 15:04:44:234  vt_info数据表，第40次写入成功
2020-11-24 15:04:44:241  vt_info数据表，第41次写入成功
2020-11-24 15:04:44:243  vt_info数据表，第42次写入成功
2020-11-24 15:04:44:246  vt_info数据表，第43次写入成功
2020-11-24 15:04:44:292  vt_info数据表，第44次写入成功
2020-11-24 15:04:44:294  vt_info数据表，第45次写入成功
2020-11-24 15:04:44:297  vt_info数据表，第46次写入成功
2020-11-24 15:04:44:300  vt_info数据表，第47次写入成功
2020-11-24 15:04:44:304  motor_info数据表，第0次写入成功
2020-11-24 15:04:44:307  motor_info数据表，第1次写入成功
2020-11-24 15:04:44:312  motor_info数据表，第2次写入成功
2020-11-24 15:04:44:319  motor_info数据表，第3次写入成功
2020-11-24 15:04:44:375  motor_info数据表，第4次写入成功
2020-11-24 15:04:44:378  motor_info数据表，第5次写入成功
2020-11-24 15:04:44:384  motor_info数据表，第6次写入成功
2020-11-24 15:04:44:386  motor_info数据表，第7次写入成功
2020-11-24 15:04:44:390  motor_info数据表，第8次写入成功
2020-11-24 15:04:44:395  motor_info数据表，第9次写入成功
2020-11-24 15:04:44:431  motor_info数据表，第10次写入成功
2020-11-24 15:04:44:433  motor_info数据表，第11次写入成功
2020-11-24 15:04:44:435  motor_info数据表，第12次写入成功
2020-11-24 15:04:44:461  motor_info数据表，第13次写入成功
2020-11-24 15:04:44:463  motor_info数据表，第14次写入成功
2020-11-24 15:04:44:466  motor_info数据表，第15次写入成功
2020-11-24 15:04:44:468  数据库关闭！
