2020-12-16 01:05:19:643  磁钢信号预处理完成，位置标记：1
2020-12-16 01:05:19:674  温度分轮成功，分轮数尺度为：8
2020-12-16 01:05:19:674  m_nAxleMarkG2数据异常，位置标记：1
2020-12-16 01:05:19:674  m_nAxleMarkG2数据不是48个，数据异常，位置标记：1
2020-12-16 01:05:19:674  车速为：43.5789位置标记为：1
2020-12-16 01:05:19:689  振动有效标记位计算异常，位置标记为：1
2020-12-16 01:05:19:768  磁钢信号预处理完成，位置标记：0
2020-12-16 01:05:19:783  温度分轮成功，分轮数尺度为：8
2020-12-16 01:05:19:783  m_nAxleMarkG2数据异常，位置标记：0
2020-12-16 01:05:19:783  m_nAxleMarkG2数据不是48个，数据异常，位置标记：0
2020-12-16 01:05:19:799  车速为：43.5789位置标记为：0
2020-12-16 01:05:19:814  振动有效标记位计算异常，位置标记为：0
