2020-12-21 16:00:03:274  收到来车信号，流水号：20201221160003，所有设备开始采集
2020-12-21 16:00:03:342  开启A/D采集
2020-12-21 16:00:24:670  收到离车信号，流水号：20201221160003，线号：14，车号：027028，主控端：0，所有设备停止采集
2020-12-21 16:00:24:705  收到停止采集命令，开始停止采集
2020-12-21 16:00:24:741  停止采集数据
2020-12-21 16:00:24:743  采集连接已断开
2020-12-21 16:00:24:744  开始数据分析和落盘
2020-12-21 16:00:29:580  vibration1完成落盘
2020-12-21 16:00:33:792  vibration2完成落盘
2020-12-21 16:00:38:016  vibration3完成落盘
2020-12-21 16:00:42:167  vibration4完成落盘
2020-12-21 16:00:46:352  vibration5完成落盘
2020-12-21 16:00:50:568  vibration6完成落盘
2020-12-21 16:00:54:797  vibration7完成落盘
2020-12-21 16:00:58:975  vibration8完成落盘
2020-12-21 16:01:03:202  magnetic1完成落盘
2020-12-21 16:01:07:291  magnetic2完成落盘
2020-12-21 16:01:11:446  magnetic3完成落盘
2020-12-21 16:01:15:634  magnetic4完成落盘
2020-12-21 16:01:19:622  temperate1完成落盘
2020-12-21 16:01:23:528  temperate2完成落盘
2020-12-21 16:01:27:536  temperate3完成落盘
2020-12-21 16:01:31:525  temperate4完成落盘
2020-12-21 16:01:31:529  开始处理数据
2020-12-21 16:01:32:090  右侧计算完成
2020-12-21 16:01:32:550  左侧计算完成
2020-12-21 16:01:32:552  检查结果数据
2020-12-21 16:01:32:553  通知桌面显示数据
2020-12-21 16:01:32:571  开始写入数据库
2020-12-21 16:01:32:599  预警及报警参数加载完成
2020-12-21 16:01:32:601  数据库打开成功
2020-12-21 16:01:32:602  train_info数据表写入成功
2020-12-21 16:01:32:784  train_onlyid读取成功
2020-12-21 16:01:32:786  train_data数据表写入成功
2020-12-21 16:01:32:788  vt_info数据表，第0次写入成功
2020-12-21 16:01:32:789  vt_info数据表，第1次写入成功
2020-12-21 16:01:32:791  vt_info数据表，第2次写入成功
2020-12-21 16:01:32:792  vt_info数据表，第3次写入成功
2020-12-21 16:01:32:794  vt_info数据表，第4次写入成功
2020-12-21 16:01:32:795  vt_info数据表，第5次写入成功
2020-12-21 16:01:32:797  vt_info数据表，第6次写入成功
2020-12-21 16:01:32:799  vt_info数据表，第7次写入成功
2020-12-21 16:01:32:800  vt_info数据表，第8次写入成功
2020-12-21 16:01:32:802  vt_info数据表，第9次写入成功
2020-12-21 16:01:32:803  vt_info数据表，第10次写入成功
2020-12-21 16:01:32:805  vt_info数据表，第11次写入成功
2020-12-21 16:01:32:806  vt_info数据表，第12次写入成功
2020-12-21 16:01:32:808  vt_info数据表，第13次写入成功
2020-12-21 16:01:32:810  vt_info数据表，第14次写入成功
2020-12-21 16:01:32:842  vt_info数据表，第15次写入成功
2020-12-21 16:01:32:844  vt_info数据表，第16次写入成功
2020-12-21 16:01:32:845  vt_info数据表，第17次写入成功
2020-12-21 16:01:32:848  vt_info数据表，第18次写入成功
2020-12-21 16:01:32:849  vt_info数据表，第19次写入成功
2020-12-21 16:01:32:851  vt_info数据表，第20次写入成功
2020-12-21 16:01:32:852  vt_info数据表，第21次写入成功
2020-12-21 16:01:32:854  vt_info数据表，第22次写入成功
2020-12-21 16:01:32:855  vt_info数据表，第23次写入成功
2020-12-21 16:01:32:857  vt_info数据表，第24次写入成功
2020-12-21 16:01:32:858  vt_info数据表，第25次写入成功
2020-12-21 16:01:32:860  vt_info数据表，第26次写入成功
2020-12-21 16:01:32:862  vt_info数据表，第27次写入成功
2020-12-21 16:01:32:863  vt_info数据表，第28次写入成功
2020-12-21 16:01:32:865  vt_info数据表，第29次写入成功
2020-12-21 16:01:32:866  vt_info数据表，第30次写入成功
2020-12-21 16:01:32:900  vt_info数据表，第31次写入成功
2020-12-21 16:01:32:902  vt_info数据表，第32次写入成功
2020-12-21 16:01:32:904  vt_info数据表，第33次写入成功
2020-12-21 16:01:32:905  vt_info数据表，第34次写入成功
2020-12-21 16:01:32:907  vt_info数据表，第35次写入成功
2020-12-21 16:01:32:909  vt_info数据表，第36次写入成功
2020-12-21 16:01:32:910  vt_info数据表，第37次写入成功
2020-12-21 16:01:32:912  vt_info数据表，第38次写入成功
2020-12-21 16:01:32:914  vt_info数据表，第39次写入成功
2020-12-21 16:01:32:915  vt_info数据表，第40次写入成功
2020-12-21 16:01:32:917  vt_info数据表，第41次写入成功
2020-12-21 16:01:32:918  vt_info数据表，第42次写入成功
2020-12-21 16:01:32:920  vt_info数据表，第43次写入成功
2020-12-21 16:01:32:922  vt_info数据表，第44次写入成功
2020-12-21 16:01:32:923  vt_info数据表，第45次写入成功
2020-12-21 16:01:32:965  vt_info数据表，第46次写入成功
2020-12-21 16:01:32:967  vt_info数据表，第47次写入成功
2020-12-21 16:01:32:968  motor_info数据表，第0次写入成功
2020-12-21 16:01:32:970  motor_info数据表，第1次写入成功
2020-12-21 16:01:32:971  motor_info数据表，第2次写入成功
2020-12-21 16:01:32:973  motor_info数据表，第3次写入成功
2020-12-21 16:01:32:974  motor_info数据表，第4次写入成功
2020-12-21 16:01:32:976  motor_info数据表，第5次写入成功
2020-12-21 16:01:32:977  motor_info数据表，第6次写入成功
2020-12-21 16:01:32:979  motor_info数据表，第7次写入成功
2020-12-21 16:01:32:980  motor_info数据表，第8次写入成功
2020-12-21 16:01:32:982  motor_info数据表，第9次写入成功
2020-12-21 16:01:32:983  motor_info数据表，第10次写入成功
2020-12-21 16:01:32:985  motor_info数据表，第11次写入成功
2020-12-21 16:01:32:986  motor_info数据表，第12次写入成功
2020-12-21 16:01:32:988  motor_info数据表，第13次写入成功
2020-12-21 16:01:32:989  motor_info数据表，第14次写入成功
2020-12-21 16:01:32:991  motor_info数据表，第15次写入成功
2020-12-21 16:01:32:992  数据库关闭！
2020-12-21 16:09:51:072  收到来车信号，流水号：20201221160951，所有设备开始采集
2020-12-21 16:09:51:140  开启A/D采集
2020-12-21 16:10:12:567  收到离车信号，流水号：20201221160951，线号：14，车号：025026，主控端：0，所有设备停止采集
2020-12-21 16:10:12:601  收到停止采集命令，开始停止采集
2020-12-21 16:10:12:638  停止采集数据
2020-12-21 16:10:12:639  采集连接已断开
2020-12-21 16:10:12:641  开始数据分析和落盘
2020-12-21 16:10:17:447  vibration1完成落盘
2020-12-21 16:10:21:619  vibration2完成落盘
2020-12-21 16:10:25:856  vibration3完成落盘
2020-12-21 16:10:30:053  vibration4完成落盘
2020-12-21 16:10:34:238  vibration5完成落盘
2020-12-21 16:10:38:448  vibration6完成落盘
2020-12-21 16:10:42:569  vibration7完成落盘
2020-12-21 16:10:46:792  vibration8完成落盘
2020-12-21 16:10:51:037  magnetic1完成落盘
2020-12-21 16:10:55:229  magnetic2完成落盘
2020-12-21 16:10:59:230  magnetic3完成落盘
2020-12-21 16:11:03:320  magnetic4完成落盘
2020-12-21 16:11:07:334  temperate1完成落盘
2020-12-21 16:11:11:344  temperate2完成落盘
2020-12-21 16:11:15:315  temperate3完成落盘
2020-12-21 16:11:19:214  temperate4完成落盘
2020-12-21 16:11:19:222  开始处理数据
2020-12-21 16:11:19:787  右侧计算完成
2020-12-21 16:11:20:240  左侧计算完成
2020-12-21 16:11:20:241  检查结果数据
2020-12-21 16:11:20:243  通知桌面显示数据
2020-12-21 16:11:20:261  开始写入数据库
2020-12-21 16:11:20:289  预警及报警参数加载完成
2020-12-21 16:11:20:290  数据库打开成功
2020-12-21 16:11:20:292  train_info数据表写入成功
2020-12-21 16:11:20:475  train_onlyid读取成功
2020-12-21 16:11:20:477  train_data数据表写入成功
2020-12-21 16:11:20:478  vt_info数据表，第0次写入成功
2020-12-21 16:11:20:480  vt_info数据表，第1次写入成功
2020-12-21 16:11:20:482  vt_info数据表，第2次写入成功
2020-12-21 16:11:20:483  vt_info数据表，第3次写入成功
2020-12-21 16:11:20:485  vt_info数据表，第4次写入成功
2020-12-21 16:11:20:486  vt_info数据表，第5次写入成功
2020-12-21 16:11:20:488  vt_info数据表，第6次写入成功
2020-12-21 16:11:20:489  vt_info数据表，第7次写入成功
2020-12-21 16:11:20:490  vt_info数据表，第8次写入成功
2020-12-21 16:11:20:492  vt_info数据表，第9次写入成功
2020-12-21 16:11:20:493  vt_info数据表，第10次写入成功
2020-12-21 16:11:20:495  vt_info数据表，第11次写入成功
2020-12-21 16:11:20:496  vt_info数据表，第12次写入成功
2020-12-21 16:11:20:498  vt_info数据表，第13次写入成功
2020-12-21 16:11:20:500  vt_info数据表，第14次写入成功
2020-12-21 16:11:20:532  vt_info数据表，第15次写入成功
2020-12-21 16:11:20:534  vt_info数据表，第16次写入成功
2020-12-21 16:11:20:536  vt_info数据表，第17次写入成功
2020-12-21 16:11:20:537  vt_info数据表，第18次写入成功
2020-12-21 16:11:20:539  vt_info数据表，第19次写入成功
2020-12-21 16:11:20:541  vt_info数据表，第20次写入成功
2020-12-21 16:11:20:542  vt_info数据表，第21次写入成功
2020-12-21 16:11:20:544  vt_info数据表，第22次写入成功
2020-12-21 16:11:20:545  vt_info数据表，第23次写入成功
2020-12-21 16:11:20:547  vt_info数据表，第24次写入成功
2020-12-21 16:11:20:549  vt_info数据表，第25次写入成功
2020-12-21 16:11:20:550  vt_info数据表，第26次写入成功
2020-12-21 16:11:20:552  vt_info数据表，第27次写入成功
2020-12-21 16:11:20:553  vt_info数据表，第28次写入成功
2020-12-21 16:11:20:555  vt_info数据表，第29次写入成功
2020-12-21 16:11:20:556  vt_info数据表，第30次写入成功
2020-12-21 16:11:20:590  vt_info数据表，第31次写入成功
2020-12-21 16:11:20:591  vt_info数据表，第32次写入成功
2020-12-21 16:11:20:593  vt_info数据表，第33次写入成功
2020-12-21 16:11:20:595  vt_info数据表，第34次写入成功
2020-12-21 16:11:20:596  vt_info数据表，第35次写入成功
2020-12-21 16:11:20:598  vt_info数据表，第36次写入成功
2020-12-21 16:11:20:599  vt_info数据表，第37次写入成功
2020-12-21 16:11:20:601  vt_info数据表，第38次写入成功
2020-12-21 16:11:20:603  vt_info数据表，第39次写入成功
2020-12-21 16:11:20:604  vt_info数据表，第40次写入成功
2020-12-21 16:11:20:606  vt_info数据表，第41次写入成功
2020-12-21 16:11:20:607  vt_info数据表，第42次写入成功
2020-12-21 16:11:20:609  vt_info数据表，第43次写入成功
2020-12-21 16:11:20:610  vt_info数据表，第44次写入成功
2020-12-21 16:11:20:612  vt_info数据表，第45次写入成功
2020-12-21 16:11:20:653  vt_info数据表，第46次写入成功
2020-12-21 16:11:20:655  vt_info数据表，第47次写入成功
2020-12-21 16:11:20:656  motor_info数据表，第0次写入成功
2020-12-21 16:11:20:658  motor_info数据表，第1次写入成功
2020-12-21 16:11:20:659  motor_info数据表，第2次写入成功
2020-12-21 16:11:20:661  motor_info数据表，第3次写入成功
2020-12-21 16:11:20:662  motor_info数据表，第4次写入成功
2020-12-21 16:11:20:664  motor_info数据表，第5次写入成功
2020-12-21 16:11:20:665  motor_info数据表，第6次写入成功
2020-12-21 16:11:20:667  motor_info数据表，第7次写入成功
2020-12-21 16:11:20:668  motor_info数据表，第8次写入成功
2020-12-21 16:11:20:670  motor_info数据表，第9次写入成功
2020-12-21 16:11:20:671  motor_info数据表，第10次写入成功
2020-12-21 16:11:20:673  motor_info数据表，第11次写入成功
2020-12-21 16:11:20:674  motor_info数据表，第12次写入成功
2020-12-21 16:11:20:676  motor_info数据表，第13次写入成功
2020-12-21 16:11:20:677  motor_info数据表，第14次写入成功
2020-12-21 16:11:20:679  motor_info数据表，第15次写入成功
2020-12-21 16:11:20:680  数据库关闭！
2020-12-21 16:15:58:381  收到来车信号，流水号：20201221161558，所有设备开始采集
2020-12-21 16:15:58:449  开启A/D采集
2020-12-21 16:16:19:567  收到离车信号，流水号：20201221161558，线号：14，车号：049050，主控端：0，所有设备停止采集
2020-12-21 16:16:19:601  收到停止采集命令，开始停止采集
2020-12-21 16:16:19:636  停止采集数据
2020-12-21 16:16:19:638  采集连接已断开
2020-12-21 16:16:19:640  开始数据分析和落盘
2020-12-21 16:16:24:400  vibration1完成落盘
2020-12-21 16:16:28:577  vibration2完成落盘
2020-12-21 16:16:32:756  vibration3完成落盘
2020-12-21 16:16:36:927  vibration4完成落盘
2020-12-21 16:16:41:091  vibration5完成落盘
2020-12-21 16:16:45:230  vibration6完成落盘
2020-12-21 16:16:49:346  vibration7完成落盘
2020-12-21 16:16:53:501  vibration8完成落盘
2020-12-21 16:16:57:704  magnetic1完成落盘
2020-12-21 16:17:01:867  magnetic2完成落盘
2020-12-21 16:17:06:003  magnetic3完成落盘
2020-12-21 16:17:10:109  magnetic4完成落盘
2020-12-21 16:17:14:013  temperate1完成落盘
2020-12-21 16:17:18:002  temperate2完成落盘
2020-12-21 16:17:21:965  temperate3完成落盘
2020-12-21 16:17:25:896  temperate4完成落盘
2020-12-21 16:17:25:905  开始处理数据
2020-12-21 16:17:26:443  右侧计算完成
2020-12-21 16:17:26:891  左侧计算完成
2020-12-21 16:17:26:893  检查结果数据
2020-12-21 16:17:26:894  通知桌面显示数据
2020-12-21 16:17:26:911  开始写入数据库
2020-12-21 16:17:26:940  预警及报警参数加载完成
2020-12-21 16:17:26:942  数据库打开成功
2020-12-21 16:17:26:943  train_info数据表写入成功
2020-12-21 16:17:27:125  train_onlyid读取成功
2020-12-21 16:17:27:127  train_data数据表写入成功
2020-12-21 16:17:27:129  vt_info数据表，第0次写入成功
2020-12-21 16:17:27:130  vt_info数据表，第1次写入成功
2020-12-21 16:17:27:132  vt_info数据表，第2次写入成功
2020-12-21 16:17:27:133  vt_info数据表，第3次写入成功
2020-12-21 16:17:27:135  vt_info数据表，第4次写入成功
2020-12-21 16:17:27:136  vt_info数据表，第5次写入成功
2020-12-21 16:17:27:138  vt_info数据表，第6次写入成功
2020-12-21 16:17:27:140  vt_info数据表，第7次写入成功
2020-12-21 16:17:27:141  vt_info数据表，第8次写入成功
2020-12-21 16:17:27:143  vt_info数据表，第9次写入成功
2020-12-21 16:17:27:144  vt_info数据表，第10次写入成功
2020-12-21 16:17:27:146  vt_info数据表，第11次写入成功
2020-12-21 16:17:27:147  vt_info数据表，第12次写入成功
2020-12-21 16:17:27:149  vt_info数据表，第13次写入成功
2020-12-21 16:17:27:151  vt_info数据表，第14次写入成功
2020-12-21 16:17:27:152  vt_info数据表，第15次写入成功
2020-12-21 16:17:27:184  vt_info数据表，第16次写入成功
2020-12-21 16:17:27:186  vt_info数据表，第17次写入成功
2020-12-21 16:17:27:187  vt_info数据表，第18次写入成功
2020-12-21 16:17:27:189  vt_info数据表，第19次写入成功
2020-12-21 16:17:27:191  vt_info数据表，第20次写入成功
2020-12-21 16:17:27:192  vt_info数据表，第21次写入成功
2020-12-21 16:17:27:194  vt_info数据表，第22次写入成功
2020-12-21 16:17:27:195  vt_info数据表，第23次写入成功
2020-12-21 16:17:27:197  vt_info数据表，第24次写入成功
2020-12-21 16:17:27:199  vt_info数据表，第25次写入成功
2020-12-21 16:17:27:200  vt_info数据表，第26次写入成功
2020-12-21 16:17:27:202  vt_info数据表，第27次写入成功
2020-12-21 16:17:27:204  vt_info数据表，第28次写入成功
2020-12-21 16:17:27:205  vt_info数据表，第29次写入成功
2020-12-21 16:17:27:207  vt_info数据表，第30次写入成功
2020-12-21 16:17:27:240  vt_info数据表，第31次写入成功
2020-12-21 16:17:27:241  vt_info数据表，第32次写入成功
2020-12-21 16:17:27:243  vt_info数据表，第33次写入成功
2020-12-21 16:17:27:245  vt_info数据表，第34次写入成功
2020-12-21 16:17:27:246  vt_info数据表，第35次写入成功
2020-12-21 16:17:27:248  vt_info数据表，第36次写入成功
2020-12-21 16:17:27:249  vt_info数据表，第37次写入成功
2020-12-21 16:17:27:251  vt_info数据表，第38次写入成功
2020-12-21 16:17:27:253  vt_info数据表，第39次写入成功
2020-12-21 16:17:27:254  vt_info数据表，第40次写入成功
2020-12-21 16:17:27:256  vt_info数据表，第41次写入成功
2020-12-21 16:17:27:257  vt_info数据表，第42次写入成功
2020-12-21 16:17:27:259  vt_info数据表，第43次写入成功
2020-12-21 16:17:27:261  vt_info数据表，第44次写入成功
2020-12-21 16:17:27:262  vt_info数据表，第45次写入成功
2020-12-21 16:17:27:304  vt_info数据表，第46次写入成功
2020-12-21 16:17:27:305  vt_info数据表，第47次写入成功
2020-12-21 16:17:27:307  motor_info数据表，第0次写入成功
2020-12-21 16:17:27:308  motor_info数据表，第1次写入成功
2020-12-21 16:17:27:310  motor_info数据表，第2次写入成功
2020-12-21 16:17:27:311  motor_info数据表，第3次写入成功
2020-12-21 16:17:27:313  motor_info数据表，第4次写入成功
2020-12-21 16:17:27:314  motor_info数据表，第5次写入成功
2020-12-21 16:17:27:316  motor_info数据表，第6次写入成功
2020-12-21 16:17:27:317  motor_info数据表，第7次写入成功
2020-12-21 16:17:27:319  motor_info数据表，第8次写入成功
2020-12-21 16:17:27:321  motor_info数据表，第9次写入成功
2020-12-21 16:17:27:322  motor_info数据表，第10次写入成功
2020-12-21 16:17:27:324  motor_info数据表，第11次写入成功
2020-12-21 16:17:27:325  motor_info数据表，第12次写入成功
2020-12-21 16:17:27:327  motor_info数据表，第13次写入成功
2020-12-21 16:17:27:328  motor_info数据表，第14次写入成功
2020-12-21 16:17:27:330  motor_info数据表，第15次写入成功
2020-12-21 16:17:27:331  数据库关闭！
2020-12-21 16:19:42:883  收到来车信号，流水号：20201221161942，所有设备开始采集
2020-12-21 16:19:42:950  开启A/D采集
2020-12-21 16:20:04:371  收到离车信号，流水号：20201221161942，线号：14，车号：033034，主控端：1，所有设备停止采集
2020-12-21 16:20:04:406  收到停止采集命令，开始停止采集
2020-12-21 16:20:04:444  停止采集数据
2020-12-21 16:20:04:446  采集连接已断开
2020-12-21 16:20:04:448  开始数据分析和落盘
