2021-05-06 11:39:49:449  预警及报警参数加载完成
2021-05-06 11:39:49:480  数据库打开成功
2021-05-06 11:39:49:491  创建连接出现异常，错误代码为：-6
2021-05-06 11:39:49:498  同步采集仪设置异常
2021-05-06 11:39:49:511  采集仪增益设置异常
2021-05-06 11:39:49:513  train_info数据表写入成功
2021-05-06 11:39:49:516  train_onlyid读取成功
2021-05-06 11:39:49:520  train_data数据表写入成功
2021-05-06 11:39:49:522  vt_info数据表，第0次写入成功
2021-05-06 11:39:49:526  vt_info数据表，第1次写入成功
2021-05-06 11:39:49:533  vt_info数据表，第2次写入成功
2021-05-06 11:39:49:551  vt_info数据表，第3次写入成功
2021-05-06 11:39:49:559  vt_info数据表，第4次写入成功
2021-05-06 11:39:49:571  vt_info数据表，第5次写入成功
2021-05-06 11:39:49:574  vt_info数据表，第6次写入成功
2021-05-06 11:39:49:577  vt_info数据表，第7次写入成功
2021-05-06 11:39:49:582  vt_info数据表，第8次写入成功
2021-05-06 11:39:49:589  vt_info数据表，第9次写入成功
2021-05-06 11:39:49:595  vt_info数据表，第10次写入成功
2021-05-06 11:39:49:600  vt_info数据表，第11次写入成功
2021-05-06 11:39:49:605  vt_info数据表，第12次写入成功
2021-05-06 11:39:49:615  vt_info数据表，第13次写入成功
2021-05-06 11:39:49:623  vt_info数据表，第14次写入成功
2021-05-06 11:39:49:918  vt_info数据表，第15次写入成功
2021-05-06 11:39:49:921  vt_info数据表，第16次写入成功
2021-05-06 11:39:49:923  vt_info数据表，第17次写入成功
2021-05-06 11:39:49:925  vt_info数据表，第18次写入成功
2021-05-06 11:39:49:927  vt_info数据表，第19次写入成功
2021-05-06 11:39:49:929  vt_info数据表，第20次写入成功
2021-05-06 11:39:49:935  vt_info数据表，第21次写入成功
2021-05-06 11:39:49:941  vt_info数据表，第22次写入成功
2021-05-06 11:39:49:943  vt_info数据表，第23次写入成功
2021-05-06 11:39:49:945  vt_info数据表，第24次写入成功
2021-05-06 11:39:49:950  vt_info数据表，第25次写入成功
2021-05-06 11:39:49:953  vt_info数据表，第26次写入成功
2021-05-06 11:39:49:955  vt_info数据表，第27次写入成功
2021-05-06 11:39:49:960  vt_info数据表，第28次写入成功
2021-05-06 11:39:49:965  vt_info数据表，第29次写入成功
2021-05-06 11:39:49:971  vt_info数据表，第30次写入成功
2021-05-06 11:39:49:974  vt_info数据表，第31次写入成功
2021-05-06 11:39:49:979  vt_info数据表，第32次写入成功
2021-05-06 11:39:49:981  vt_info数据表，第33次写入成功
2021-05-06 11:39:49:983  vt_info数据表，第34次写入成功
2021-05-06 11:39:49:985  vt_info数据表，第35次写入成功
2021-05-06 11:39:49:987  vt_info数据表，第36次写入成功
2021-05-06 11:39:49:989  vt_info数据表，第37次写入成功
2021-05-06 11:39:49:991  vt_info数据表，第38次写入成功
2021-05-06 11:39:49:992  vt_info数据表，第39次写入成功
2021-05-06 11:39:49:995  vt_info数据表，第40次写入成功
2021-05-06 11:39:49:998  vt_info数据表，第41次写入成功
2021-05-06 11:39:50:001  vt_info数据表，第42次写入成功
2021-05-06 11:39:50:006  vt_info数据表，第43次写入成功
2021-05-06 11:39:50:014  vt_info数据表，第44次写入成功
2021-05-06 11:39:50:020  vt_info数据表，第45次写入成功
2021-05-06 11:39:50:025  vt_info数据表，第46次写入成功
2021-05-06 11:39:50:035  vt_info数据表，第47次写入成功
2021-05-06 11:39:50:041  motor_info数据表，第0次写入成功
2021-05-06 11:39:50:047  motor_info数据表，第1次写入成功
2021-05-06 11:39:50:055  motor_info数据表，第2次写入成功
2021-05-06 11:39:50:063  motor_info数据表，第3次写入成功
2021-05-06 11:39:50:066  motor_info数据表，第4次写入成功
2021-05-06 11:39:50:071  motor_info数据表，第5次写入成功
2021-05-06 11:39:50:075  motor_info数据表，第6次写入成功
2021-05-06 11:39:50:080  motor_info数据表，第7次写入成功
2021-05-06 11:39:50:086  motor_info数据表，第8次写入成功
2021-05-06 11:39:50:092  motor_info数据表，第9次写入成功
2021-05-06 11:39:50:097  motor_info数据表，第10次写入成功
2021-05-06 11:39:50:102  motor_info数据表，第11次写入成功
2021-05-06 11:39:50:107  motor_info数据表，第12次写入成功
2021-05-06 11:39:50:112  motor_info数据表，第13次写入成功
2021-05-06 11:39:50:119  motor_info数据表，第14次写入成功
2021-05-06 11:39:50:124  motor_info数据表，第15次写入成功
2021-05-06 11:39:50:129  数据库关闭！
