2021-08-20 09:56:32:350  本地IP：127.0.0.1
2021-08-20 09:56:32:457  本地端口号：4500
2021-08-20 09:56:32:491  通讯模块设置成功
2021-08-20 09:56:32:587  综合数据盒连接IP：192.168.1.198
2021-08-20 09:56:32:588  正在打开设备...
2021-08-20 09:56:37:835  正在读取检测数据...
2021-08-20 09:56:39:196  开始处理数据
2021-08-20 09:56:39:241  右侧计算完成
2021-08-20 09:56:39:290  左侧计算完成
2021-08-20 09:56:39:291  检查结果数据
2021-08-20 09:56:39:295  通知桌面显示数据
2021-08-20 09:56:39:336  开始写入数据库
2021-08-20 09:56:39:662  预警及报警参数加载完成
2021-08-20 09:56:39:664  数据库打开成功
2021-08-20 09:56:39:697  train_info数据表写入成功
2021-08-20 09:56:39:698  train_onlyid读取成功
2021-08-20 09:56:39:738  train_data数据表写入成功
2021-08-20 09:56:39:740  vt_info数据表，第0次写入成功
2021-08-20 09:56:39:743  vt_info数据表，第1次写入成功
2021-08-20 09:56:39:744  vt_info数据表，第2次写入成功
2021-08-20 09:56:39:747  vt_info数据表，第3次写入成功
2021-08-20 09:56:39:787  vt_info数据表，第4次写入成功
2021-08-20 09:56:39:789  vt_info数据表，第5次写入成功
2021-08-20 09:56:39:791  vt_info数据表，第6次写入成功
2021-08-20 09:56:39:793  vt_info数据表，第7次写入成功
2021-08-20 09:56:39:797  vt_info数据表，第8次写入成功
2021-08-20 09:56:39:799  vt_info数据表，第9次写入成功
2021-08-20 09:56:39:823  vt_info数据表，第10次写入成功
2021-08-20 09:56:39:825  vt_info数据表，第11次写入成功
2021-08-20 09:56:39:827  vt_info数据表，第12次写入成功
2021-08-20 09:56:39:829  vt_info数据表，第13次写入成功
2021-08-20 09:56:39:848  vt_info数据表，第14次写入成功
2021-08-20 09:56:39:851  vt_info数据表，第15次写入成功
2021-08-20 09:56:39:853  vt_info数据表，第16次写入成功
2021-08-20 09:56:39:856  vt_info数据表，第17次写入成功
2021-08-20 09:56:39:876  vt_info数据表，第18次写入成功
2021-08-20 09:56:39:878  vt_info数据表，第19次写入成功
2021-08-20 09:56:39:881  vt_info数据表，第20次写入成功
2021-08-20 09:56:39:885  vt_info数据表，第21次写入成功
2021-08-20 09:56:39:905  vt_info数据表，第22次写入成功
2021-08-20 09:56:39:907  vt_info数据表，第23次写入成功
2021-08-20 09:56:39:910  vt_info数据表，第24次写入成功
2021-08-20 09:56:39:913  vt_info数据表，第25次写入成功
2021-08-20 09:56:39:934  vt_info数据表，第26次写入成功
2021-08-20 09:56:39:936  vt_info数据表，第27次写入成功
2021-08-20 09:56:39:938  vt_info数据表，第28次写入成功
2021-08-20 09:56:39:939  vt_info数据表，第29次写入成功
2021-08-20 09:56:39:960  vt_info数据表，第30次写入成功
2021-08-20 09:56:39:961  vt_info数据表，第31次写入成功
2021-08-20 09:56:39:963  vt_info数据表，第32次写入成功
2021-08-20 09:56:39:979  vt_info数据表，第33次写入成功
2021-08-20 09:56:39:982  vt_info数据表，第34次写入成功
2021-08-20 09:56:39:984  vt_info数据表，第35次写入成功
2021-08-20 09:56:39:999  vt_info数据表，第36次写入成功
2021-08-20 09:56:40:001  vt_info数据表，第37次写入成功
2021-08-20 09:56:40:002  vt_info数据表，第38次写入成功
2021-08-20 09:56:40:016  vt_info数据表，第39次写入成功
2021-08-20 09:56:40:018  vt_info数据表，第40次写入成功
2021-08-20 09:56:40:020  vt_info数据表，第41次写入成功
2021-08-20 09:56:40:036  vt_info数据表，第42次写入成功
2021-08-20 09:56:40:038  vt_info数据表，第43次写入成功
2021-08-20 09:56:40:040  vt_info数据表，第44次写入成功
2021-08-20 09:56:40:056  vt_info数据表，第45次写入成功
2021-08-20 09:56:40:058  vt_info数据表，第46次写入成功
2021-08-20 09:56:40:060  vt_info数据表，第47次写入成功
2021-08-20 09:56:40:075  motor_info数据表，第0次写入成功
2021-08-20 09:56:40:077  motor_info数据表，第1次写入成功
2021-08-20 09:56:40:079  motor_info数据表，第2次写入成功
2021-08-20 09:56:40:097  motor_info数据表，第3次写入成功
2021-08-20 09:56:40:099  motor_info数据表，第4次写入成功
2021-08-20 09:56:40:101  motor_info数据表，第5次写入成功
2021-08-20 09:56:40:103  motor_info数据表，第6次写入成功
2021-08-20 09:56:40:124  motor_info数据表，第7次写入成功
2021-08-20 09:56:40:126  motor_info数据表，第8次写入成功
2021-08-20 09:56:40:128  motor_info数据表，第9次写入成功
2021-08-20 09:56:40:130  motor_info数据表，第10次写入成功
2021-08-20 09:56:40:150  motor_info数据表，第11次写入成功
2021-08-20 09:56:40:152  motor_info数据表，第12次写入成功
2021-08-20 09:56:40:153  motor_info数据表，第13次写入成功
2021-08-20 09:56:40:156  motor_info数据表，第14次写入成功
2021-08-20 09:56:40:171  motor_info数据表，第15次写入成功
2021-08-20 09:56:40:172  数据库关闭！
2021-08-20 09:56:53:637  创建连接出现异常，错误代码为：-6
2021-08-20 09:56:53:649  同步采集仪设置异常
2021-08-20 09:56:53:661  采集仪增益设置异常
