2022-07-13 22:04:17:590  正在读取检测数据...
2022-07-13 22:04:25:756  开始处理数据
2022-07-13 22:04:26:059  右侧计算完成
2022-07-13 22:04:26:240  左侧计算完成
2022-07-13 22:04:26:243  检查结果数据
2022-07-13 22:04:26:245  通知桌面显示数据
2022-07-13 22:04:26:256  开始写入数据库
2022-07-13 22:04:26:390  预警及报警参数加载完成
2022-07-13 22:04:26:391  数据库打开成功
2022-07-13 22:04:26:408  train_info数据表写入成功
2022-07-13 22:04:26:410  train_onlyid读取成功
2022-07-13 22:04:26:412  train_data数据表写入成功
2022-07-13 22:04:26:427  train_fault数据表写入1、1成功
2022-07-13 22:04:26:430  vt_info数据表，第0次写入成功
2022-07-13 22:04:26:432  vt_info数据表，第1次写入成功
2022-07-13 22:04:26:451  vt_info数据表，第2次写入成功
2022-07-13 22:04:26:468  vt_info数据表，第3次写入成功
2022-07-13 22:04:26:471  vt_info数据表，第4次写入成功
2022-07-13 22:04:26:473  vt_info数据表，第5次写入成功
2022-07-13 22:04:26:475  vt_info数据表，第6次写入成功
2022-07-13 22:04:26:477  vt_info数据表，第7次写入成功
2022-07-13 22:04:26:491  vt_info数据表，第8次写入成功
2022-07-13 22:04:26:494  vt_info数据表，第9次写入成功
2022-07-13 22:04:26:496  vt_info数据表，第10次写入成功
2022-07-13 22:04:26:498  vt_info数据表，第11次写入成功
2022-07-13 22:04:26:515  vt_info数据表，第12次写入成功
2022-07-13 22:04:26:518  vt_info数据表，第13次写入成功
2022-07-13 22:04:26:522  vt_info数据表，第14次写入成功
2022-07-13 22:04:26:524  vt_info数据表，第15次写入成功
2022-07-13 22:04:26:542  vt_info数据表，第16次写入成功
2022-07-13 22:04:26:544  vt_info数据表，第17次写入成功
2022-07-13 22:04:26:546  vt_info数据表，第18次写入成功
2022-07-13 22:04:26:548  vt_info数据表，第19次写入成功
2022-07-13 22:04:26:563  vt_info数据表，第20次写入成功
2022-07-13 22:04:26:565  vt_info数据表，第21次写入成功
2022-07-13 22:04:26:567  vt_info数据表，第22次写入成功
2022-07-13 22:04:26:570  vt_info数据表，第23次写入成功
2022-07-13 22:04:26:586  vt_info数据表，第24次写入成功
2022-07-13 22:04:26:588  vt_info数据表，第25次写入成功
2022-07-13 22:04:26:590  vt_info数据表，第26次写入成功
2022-07-13 22:04:26:594  vt_info数据表，第27次写入成功
2022-07-13 22:04:26:677  vt_info数据表，第28次写入成功
2022-07-13 22:04:26:724  vt_info数据表，第29次写入成功
2022-07-13 22:04:26:727  vt_info数据表，第30次写入成功
2022-07-13 22:04:26:729  vt_info数据表，第31次写入成功
2022-07-13 22:04:26:731  vt_info数据表，第32次写入成功
2022-07-13 22:04:26:747  vt_info数据表，第33次写入成功
2022-07-13 22:04:26:749  vt_info数据表，第34次写入成功
2022-07-13 22:04:26:751  vt_info数据表，第35次写入成功
2022-07-13 22:04:26:766  vt_info数据表，第36次写入成功
2022-07-13 22:04:26:768  vt_info数据表，第37次写入成功
2022-07-13 22:04:26:793  vt_info数据表，第38次写入成功
2022-07-13 22:04:26:809  vt_info数据表，第39次写入成功
2022-07-13 22:04:26:811  vt_info数据表，第40次写入成功
2022-07-13 22:04:26:813  vt_info数据表，第41次写入成功
2022-07-13 22:04:26:828  vt_info数据表，第42次写入成功
2022-07-13 22:04:26:829  vt_info数据表，第43次写入成功
2022-07-13 22:04:26:831  vt_info数据表，第44次写入成功
2022-07-13 22:04:26:846  vt_info数据表，第45次写入成功
2022-07-13 22:04:26:848  vt_info数据表，第46次写入成功
2022-07-13 22:04:26:850  vt_info数据表，第47次写入成功
2022-07-13 22:04:26:869  motor_info数据表，第0次写入成功
2022-07-13 22:04:26:873  motor_info数据表，第1次写入成功
2022-07-13 22:04:26:875  motor_info数据表，第2次写入成功
2022-07-13 22:04:26:877  motor_info数据表，第3次写入成功
2022-07-13 22:04:26:893  motor_info数据表，第4次写入成功
2022-07-13 22:04:26:895  motor_info数据表，第5次写入成功
2022-07-13 22:04:26:897  motor_info数据表，第6次写入成功
2022-07-13 22:04:26:898  motor_info数据表，第7次写入成功
2022-07-13 22:04:26:913  motor_info数据表，第8次写入成功
2022-07-13 22:04:26:914  motor_info数据表，第9次写入成功
2022-07-13 22:04:26:916  motor_info数据表，第10次写入成功
2022-07-13 22:04:26:919  motor_info数据表，第11次写入成功
2022-07-13 22:04:26:940  motor_info数据表，第12次写入成功
2022-07-13 22:04:26:943  motor_info数据表，第13次写入成功
2022-07-13 22:04:26:948  motor_info数据表，第14次写入成功
2022-07-13 22:04:26:952  motor_info数据表，第15次写入成功
2022-07-13 22:04:30:778  数据库关闭！
